species,totalCount
Stenaelurillus lesserti,660
Symbrenthia hypselis,2662
Syzygium cumini,9103
Tropidia angulosa,150
Xyleutes strix,76
Porpita porpita,415
Terapon jarbua,107
Trachydium roylei,203
Hypospila bolinoides,86
Naemorhedus goral,89
Ophthalmitis herbidaria,7
Acherontia styx,1894
Aythya ferina,211
Bandicota bengalensis,200
Brassica juncea,556
Centropus sinensis,9461
Hibiscus mutabilis,1501
Kleinhovia hospita,447
Mabra eryxalis,133
Oraesia emarginata,282
Raphanus sativus,409
Rhopodytes viridirostris,1932
Stibochiona nicea,2912
Trichosanthes tricuspidata,770
Zosterops palpebrosus,5583
Amyda cartilaginea,272
Asio otus,32
Cirrhochrista fumipalpis,293
Dicrurus remifer,27
Dravidogecko anamallensis,132
Haplocosmia himalayana,121
Libellago andamanensis,57
Araneus viridisomus,56
Corchorus olitorius,179
Ctenoptilum vasava,111
Grewia flavescens,132
Hydriris ornatalis,79
Lavandula bipinnata,206
Ocimum gratissimum,99
Oenanthe isabellina,40
Pucrasia macrolopha,87
Eleiotis sororia,186
Kaestlea bilineata,82
Parasanaa donovani,58
Platanista gangetica,406
Spalerosophis diadema,148
Amaranthus viridis,1140
Apis dorsata,4790
Batagur kachuga,1062
Dodona dipoea,555
Eryx whitakeri,363
Ficus benghalensis,17764
Hystrix brachyura,254
Jamides bochus,2915
Koruthaialos rubecula,174
Marumba nympha,182
Nyctemera arctata,428
Pterocles exustus,714
Raorchestes chlorosomma,609
Rhopocichla atriceps,154
Streptopelia decaocto,2984
Syzygium samarangense,1266
Treron curvirostra,290
Uropeltis maculata,319
Vagrans egista,783
Asparagus setaceus,179
Bambusa bambos,355
Curetis bulis,549
Eranthemum pulchellum,104
Larix griffithii,105
Muscicapa latirostris,1315
Nacaduba beroe,527
Rhene flavigera,540
Eublemma dimidialis,174
Raorchestes tinniens,794
Croton persimilis,59
Accipiter virgatus,237
Calotropis gigantea,4514
Cethosia cyane,4241
Dioscorea bulbifera,721
Emberiza melanocephala,80
Humboldtia brunonis,496
Lutrogale perspicillata,1434
Mocis frugalis,2609
Pantala flavescens,34747
Primula denticulata,57
Pulicaria wightiana,188
Senna auriculata,697
Tramea transmarina,179
Udaspes folus,10564
Axis porcinus,1200
Azanus uranus,459
Chrysothrix candelaris,33
Clausena austroindica,59
Commiphora wightii,462
Conservula indica,107
Dyrzela plagiata,188
Entomogramma fautrix,89
Grewia orientalis,17
Lethe kansa,203
Nageia wallichiana,94
Ophioglossum costatum,206
Osyris quadripartita,485
Prunus serrulata,118
Senecio bombayensis,198
Striga densiflora,538
Ailanthus triphysa,377
Calliandra selloi,142
Euthalia nara,62
Minervarya nepalensis,126
Chitaura indica,86
Fabriciana kamala,116
Holigarna grahamii,123
Sonchus oleraceus,36
Acridotheres ginginianus,656
Atalantia racemosa,333
Bubulcus ibis,9681
Cirrochroa aoris,2329
Gasteracantha dalyi,109
Litchi chinensis,923
Ptyonoprogne concolor,526
Terminalia arjuna,4920
Xylophis stenorhynchus,154
Zornia gibbosa,401
Pantoporia zeroca,666
Senna alexandrina,299
Alkekengi officinarum,70
Cyornis banyumas,205
Euphorbia antiquorum,271
Heliocopris bucephalus,141
Pedesta masuriensis,123
Platyceps gracilis,17
Pontia daplidice,391
Rita rita,209
Crocidolomia pavonana,52
Macropygia unchall,250
Mallotus repandus,196
Mycalesis perseoides,59
Neofelis nebulosa,170
Plutodes nilgirica,133
Alophoixus flaveolus,161
Asystasia gangetica,731
Codiaeum variegatum,1342
Cyrtophora unicolor,227
Echinochloa stagnina,54
Elaeocarpus macrocerus,284
Euphorbia splendens,707
Ficus altissima,88
Ficus drupacea,365
Glareola lactea,2567
Heliconia rostrata,587
Hydrophis cyanocinctus,92
Hypnale hypnale,5081
Paracercion melanotum,913
Taractrocera ceramas,1431
Theretra nessus,359
Traminda aventiaria,294
Vicoa indica,143
Zingiber officinale,370
Artocarpus lacucha,179
Cipadessa baccifera,587
Crotalaria medicaginea,552
Cypripedium elegans,6
Dibamus nicobaricum,46
Elaeocarpus floribundus,83
Epithemis mariae,262
Pingasa lariaria,11
Rhacophorus pseudomalabaricus,1282
Senegalia catechu,871
Syntypistis fasciata,8
Thalassodes quadraria,12
Theloderma baibungense,199
Psittacula himalayana,516
Acmella ciliata,173
Callopistria maillardi,171
Millardia meltada,259
Utricularia graminifolia,183
Actitis hypoleucos,2018
Attacus taprobanis,669
Cupressus sempervirens,180
Eryx johnii,1786
Fulica atra,4709
Gaurena florescens,161
Hebius beddomei,1608
Hemidactylus prashadi,1019
Hipposideros pomona,174
Luculia gratissima,255
Mallotus philippensis,3149
Mentha spicata,72
Micrixalus elegans,1109
Microcarbo niger,5282
Murraya koenigii,5236
Nilssonia gangetica,4706
Polypedates occidentalis,1339
Porpax reticulata,735
Rapala varuna,1378
Solena amplexicaulis,165
Surniculus lugubris,980
Tajuria cippus,2385
Tecoma stans,4694
Ziziphus rugosa,829
Ducula badia,207
Erionota thrax,173
Garcinia pushpangadaniana,33
Plutodes costatus,74
Senna obtusifolia,166
Sorghum halepense,197
Uperodon montanus,370
Aristocypha fenestrella,289
Habenaria grandifloriformis,242
Ipomoea horsfalliae,162
Nauclea orientalis,75
Phoebe wightii,163
Xenus cinereus,526
Desmos chinensis,179
Oriens concinna,95
Phyllanthus virgatus,68
Aciagrion occidentale,445
Arhopala abseus,368
Bos grunniens,303
Cardiospermum corindum,445
Cyrtodactylus adleri,417
Elanus caeruleus,4836
Falco tinnunculus,3261
Gymnacranthera canarica,178
Haplanthodes verticillatus,304
Homonoia riparia,389
Limnocharis flava,217
Loboschiza koenigiana,803
Nevrina procopia,359
Pangshura sylhetensis,1618
Raorchestes chalazodes,491
Senna hirsuta,90
Stictocardia beraviensis,205
Tephrodornis sylvicola,167
Bauhinia phoenicea,251
Dendrobium macrostachyum,294
Ghatixalus asterops,137
Murdannia pauciflora,72
Muscicapa ferruginea,47
Parus spilonotus,67
Saccharum officinarum,648
Symplocos obtusa,70
Caridina gracilirostris,10
Delta dimidiatipenne,131
Minervarya nilagirica,196
Nucifraga multipunctata,176
Parapoynx crisonalis,61
Syzygium kurzii,165
Acer oblongum,185
Asota canaraica,145
Falco jugger,80
Pseudarthria viscida,33
Accipiter badius,9492
Alsophila crinita,156
Amorphophallus sylvaticus,120
Hyblaea puera,358
Indigofera astragalina,289
Litsea floribunda,607
Micropera rostrata,42
Pelopidas agna,2257
Senna bicapsularis,193
Thalictrum foliolosum,355
Actinodaphne lawsonii,150
Bradinopyga konkanensis,104
Calophyllum austroindicum,161
Coccoloba uvifera,111
Eutropis beddomei,199
Pedicularis bicornuta,107
Xenentodon cancila,619
Birgus latro,172
Euphrasia officinalis,1
Horadandia atukorali,93
Hydrilla verticillata,190
Pyralis manihotalis,38
Suasa lisides,135
Macrognathus pancalus,136
Stegodyphus sarasinorum,179
Camponotus compressus,2802
Charana mandarinus,345
Cheritra freja,3982
Delias hyparete,1581
Duttaphrynus hololius,1016
Ganoderma resinaceum,197
Graphium doson,12239
Gynacantha dravida,1171
Gypaetus barbatus,306
Kalanchoe pinnata,1095
Lycodon fasciatus,104
Momordica balsamina,206
Neoscona bengalensis,258
Nothopegia beddomei,370
Ophiomorus raithmai,364
Parantica melaneus,725
Treron phayrei,356
Urena lobata,1316
Acrocephalus agricola,176
Auricularia auricula-judae,300
Dichocrocis rigidalis,150
Eutropis allapallensis,191
Nyctibatrachus dattatreyaensis,201
Solanum pubescens,173
Rapala nissa,136
Austruca annulipes,171
Solanum wrightii,116
Sonneratia apetala,70
Acmella uliginosa,158
Aesculus indica,464
Anax ephippiger,1463
Callopistria guttulalis,132
Daucus carota,402
Ficus amplissima,352
Ficus pumila,655
Glyphodes caesalis,597
Herpestes urva,422
Impatiens pulcherrima,299
Ipomoea barlerioides,19
Ipomoea obscura,652
Joannesia princeps,203
Lethe europa,3082
Merops leschenaulti,2259
Mycteria leucocephala,9520
Ocimum basilicum,391
Polygonia c-album,307
Prinia inornata,2626
Rhacophorus malabaricus,10404
Semnopithecus johnii,2174
Siccia taprobanis,60
Tanaecia lepidea,9329
Thespesia lampas,74
Typha domingensis,80
Anisomeles heyneana,603
Apis mellifera,287
Aulacophora indica,36
Cyclea peltata,149
Herpetogramma cynaralis,18
Neanotis lancifolia,124
Passer pyrrhonotus,131
Periparus rubidiventris,25
Vitex trifolia,301
Khaya senegalensis,118
Rhabdops olivaceus,1
Theretra pallicosta,99
Thunnus albacares,135
Acanthospermum hispidum,144
Blythia reticulata,106
Bubo bengalensis,1047
Campanula latifolia,59
Cestrum nocturnum,225
Clematis recta,91
Coleus strobilifer,325
Cupressus lusitanica,125
Dasia nicobarensis,69
Erigeron karvinskianus,84
Gangara thyrsis,2318
Ixora javanica,364
Lycaena phlaeas,611
Mitragyna parvifolia,1914
Phyllocephalum scabridum,713
Plexippus petersi,749
Raorchestes luteolus,3797
Rhacophorus lateralis,3776
Sigesbeckia orientalis,243
Tupaia belangeri,266
Hirundapus giganteus,158
Pantoporia jina,105
Serrodes partita,181
Takydromus sexlineatus,451
Tarsiger hyperythrus,171
Brancus calebi,391
Ficus superba,128
Gyps himalayensis,668
Pidorus glaucopis,138
Prinia rufescens,260
Prosopocoilus astacoides,214
Pseudagrion spencei,46
Rhododendron edgeworthii,50
Thottea siliquosa,459
Barleria cuspidata,187
Ceropegia media,103
Trabala garuda,179
Utricularia caerulea,192
Calidris minuta,797
Cinnyris asiaticus,6555
Cnaphalocrocis medinalis,1510
Cyclemys gemeli,1769
Decalepis hamiltonii,376
Diospyros malabarica,678
Grammodes geometrica,783
Lepus nigricollis,2031
Malpighia glabra,241
Polythlipta divaricata,37
Prionailurus rubiginosus,446
Pterocarpus santalinus,368
Raorchestes uthamani,404
Saurauia roxburghii,35
Agrostistachys borneensis,262
Araucaria bidwillii,264
Duttaphrynus stuarti,120
Ipomoea alba,123
Dasia olivacea,205
Dipterocarpus bourdillonii,86
Begonia coccinea,114
Phyllanthus indofischeri,202
Senna montana,124
Stomorhina lunata,116
Agathodes ostentalis,615
Amolops assamensis,305
Barleria prionitis,545
Cerbera manghas,212
Croton bonplandianus,376
Euchrysops cnejus,16040
Iris clarkei,92
Pithauria stramineipennis,249
Porzana porzana,252
Gmelina asiatica,744
Litsea monopetala,505
Myiomela major,408
Petaurista petaurista,152
Pteridium aquilinum,227
Dendrobium herbaceum,235
Dinebra retroflexa,128
Avena sativa,73
Cocculus pendulus,105
Enterolobium cyclocarpum,90
Prunella collaris,176
Tricholepis radicans,98
Actinodaphne lanceolata,212
Amata passalis,5719
Eublemma anachoresis,578
Gymnopleurus cyaneus,150
Hypolycaena erylus,3298
Indosylvirana montana,346
Martes gwatkinsii,731
Mesosphaerum suaveolens,26
Meyna laxiflora,799
Netta rufina,559
Pareronia hippia,4276
Vanellus malabaricus,4211
Vigna aconitifolia,266
Zographetus satwa,357
Argyrophis diardii,158
Channa aurantimaculata,182
Cordia macleodii,351
Musa ornata,2
Phanuelus gladstone,349
Pinguicula alpina,129
Poecilotheria regalis,352
Verbena brasiliensis,22
Xylaria polymorpha,250
Mallotus paniculatus,120
Androsace sempervivoides,1
Calamus gamblei,206
Christisonia calcarata,24
Ypthima newara,348
Abrus precatorius,4053
Amblypharyngodon mola,415
Begonia picta,305
Centella asiatica,2807
Corvus corax,292
Dendrobium barbatulum,897
Euphorbia heterophylla,745
Eurema brigitta,3180
Excoecaria agallocha,597
Harmochirus brachiatus,182
Hoplobatrachus crassus,772
Neonauclea purpurea,141
Pitta brachyura,4220
Pomatorhinus schisticeps,224
Spatula clypeata,1198
Tarucus theophrastus,909
Cania bilinea,132
Cannomys badius,228
Cycas revoluta,551
Minervarya cepfi,251
Pycnonotus atriceps,22
Scylla serrata,207
Spiranthes sinensis,143
Camaricus maugei,135
Fimbristylis quinquangularis,60
Halpe zema,470
Lumnitzera racemosa,365
Mustela sibirica,187
Papilio liomedon,184
Theloderma moloch,175
Bulbophyllum sterile,18
Cymbidium ensifolium,86
Cyrtodactylus varadgirii,47
Lopharthrum comprimens,170
Manouria emys,1
Pleione praecox,127
Quercus serrata,301
Raorchestes terebrans,12
Sauris eupitheciata,70
Syzygium myhendrae,99
Acisoma panorpoides,12259
Acridotheres fuscus,4731
Adenanthera pavonina,1838
Ageratum conyzoides,2377
Anthus hodgsoni,800
Calotes versicolor,35849
Ceyx erithaca,693
Chamaeleo zeylanicus,3254
Echinops echinatus,341
Flemingia strobilifera,645
Gloriosa superba,4882
Horabagrus brachysoma,290
Ixora brachiata,707
Limnophila repens,102
Lycodon travancoricus,2277
Macaca assamensis,204
Myrmaplata plataleoides,1985
Neolamarckia cadamba,7368
Polyspora obtusa,251
Pseudocoladenia dan,4728
Raorchestes beddomii,908
Syzygium aromaticum,6
Treron phoenicopterus,2993
Trichodesma zeylanicum,72
Varanus salvator,2080
Cymbopogon martini,346
Icthyophaga humilis,0
Polycarpaea corymbosa,232
Euthalia kesava,45
Lygodium polystachyum,120
Petaurista nobilis,153
Platygomphus dolabratus,20
Alauda gulgula,461
Bungarus caeruleus,2803
Chrysocolaptes festivus,813
Cirrhinus reba,369
Distimake quinquefolius,138
Fascellina plagiata,502
Ficus benjamina,2261
Melanophidium khairei,817
Phoebe lanceolata,428
Potamarcha congener,9671
Rhinoceros unicornis,2330
Semnopithecus schistaceus,425
Stereospermum chelonoides,105
Theretra silhetensis,976
Thyas juno,361
Trimeresurus andersonii,478
Aythya nyroca,222
Caprimulgus macrurus,318
Cestrum diurnum,394
Coladenia agni,179
Gonepteryx rhamni,390
Leucas martinicensis,165
Nanorana vicina,250
Phylloscopus fuligiventer,85
Schistophleps bipuncta,232
Abroscopus superciliaris,38
Astrobatrachus kurichiyana,209
Brugmansia arborea,113
Hygrophila auriculata,233
Hypolycaena narada,86
Zornia quilonensis,185
Cataulacus taprobanae,36
Curcuma angustifolia,37
Jasminum nervosum,134
Lycopus europaeus,174
Melochia nodiflora,159
Ougeinia oojeinensis,6
Saxifraga parnassifolia,107
Aquila clanga,595
Bauhinia acuminata,1660
Boiga nuchalis,625
Browallia americana,146
Chrysophlegma flavinucha,437
Dicoma tomentosa,1
Falco naumanni,96
Felis chaus,2068
Holmskioldia sanguinea,632
Ictinogomphus rapax,8378
Minla strigula,189
Nilssonia hurum,1254
Papilio polytes,40492
Pygospila tyres,2360
Senna alata,1240
Sida cordata,604
Tecomella undulata,772
Amaranthus hybridus,127
Dichromia sagitta,567
Garrulus lanceolatus,312
Helicoverpa assulta,65
Luscinia brunnea,570
Raorchestes charius,378
Indoplanorbis exustus,230
Miltochrista undulosa,365
Myrmarachne prava,192
Spathoglottis ixioides,30
Spodiopogon rhizophorus,103
Zeurrora indica,119
Halcyon coromanda,176
Yepcalphis dilectissima,592
Charaxes bernardus,2660
Coelogyne nervosa,124
Crossobamon orientalis,771
Dalbergia lanceolaria,736
Drosera indica,299
Egretta sacra,47
Emilia ramulosa,191
Golunda ellioti,317
Ixias pyrene,6205
Nelumbo nucifera,1722
Paradoxurus jerdoni,263
Pieris rapae,516
Pyrausta phoenicealis,122
Rapala iarbus,2474
Seicercus poliogenys,126
Spatula querquedula,1070
Turdus unicolor,735
Amplypterus panopus,358
Celastrus paniculatus,946
Eupanacra mydon,49
Hypoestes phyllostachya,66
Oceanodroma monorhis,126
Protosticta sanguinostigma,355
Colotis eucharis,534
Elatostema lineolatum,271
Grewia tiliifolia,443
Oreta vatama,97
Rhizophora apiculata,394
Uropeltis liura,39
Bastilla arcuata,111
Maliarpha separatella,88
Mulleripicus pulverulentus,77
Acalypha ciliata,118
Ageratina adenophora,1020
Catochrysops panormus,347
Commicarpus chinensis,102
Cycas circinalis,1919
Dalbergia sissoo,3272
Kigelia africana,2606
Lyroderma lyra,243
Pastor roseus,1816
Porphyrio porphyrio,8095
Spilornis elgini,156
Allamanda schottii,143
Brahmaea hearseyi,124
Crithote horridipes,192
Crossopriza lyoni,501
Enicurus immaculatus,147
Glycosmis mauritiana,227
Impatiens leschenaultii,458
Locusta migratoria,65
Memecylon sessile,146
Neptis cartica,174
Neurothemis fluctuans,242
Pericyma umbrina,156
Gazania linearis,74
Labeo calbasu,17
Rhynchosia hirta,195
Selaginella intermedia,180
Urena procumbens,120
Culex bengalensis,185
Digitonthophagus gazella,188
Impatiens fruticosa,76
Ischnura forcipata,191
Abies densa,474
Antilope cervicapra,2257
Blepharis maderaspatensis,514
Flueggea leucopyrus,501
Gekko smithii,661
Merremia hederacea,63
Miconia crenata,508
Pavo cristatus,19895
Pericrocotus flammeus,3347
Petaurista philippensis,809
Pleiospermium alatum,374
Ravenala madagascariensis,487
Senna spectabilis,514
Senna uniflora,382
Streptopelia orientalis,1358
Xylocopa tenuiscapa,696
Zinnia angustifolia,237
Disperis neilgherrensis,221
Gagea lasiantha,89
Grewia villosa,436
Herpetogramma bipunctalis,29
Pseudomicronia advocataria,40
Lindenbergia indica,500
Cyperus iria,177
Jacquemontia pentanthos,68
Bacopa monnieri,862
Chliaria kina,793
Cyanotis axillaris,1281
Eugenia wynaadensis,350
Eumyias albicaudatus,490
Gynandropsis gynandra,391
Lycodon aulicus,3388
Mangina argus,1104
Monoon coffeoides,218
Nothapodytes nimmoniana,1266
Parathyma kanwa,476
Platycladus orientalis,1009
Rhyothemis triangularis,610
Trithemis kirbyi,934
Ageratum houstonianum,377
Callistemon rigidus,195
Croton zeylanicus,245
Dalbergia horrida,259
Dioscorea oppositifolia,670
Ipomoea biflora,143
Manis crassicaudata,762
Polyura arja,184
Rauvolfia serpentina,1198
Ancylolomia saundersiella,181
Episesarma mederi,50
Eutropis trivittata,7
Halenia elliptica,192
Hibiscus cannabinus,137
Paulownia tomentosa,199
Adiantum hispidulum,71
Ghatixalus magnus,147
Barleria courtallica,168
Bradina diagonalis,411
Comibaena pictipennis,118
Dolichandrone falcata,1294
Erebus hieroglyphica,1566
Garrulax leucolophus,254
Iambrix salsala,10789
Meliosma rhoifolia,186
Olepa ricini,3562
Pajanelia longifolia,907
Papilio arcturus,205
Raorchestes bombayensis,592
Rhabdophis subminiatus,1315
Sclerocarpus africanus,37
Taxus wallichiana,283
Theretra latreillii,272
Argyreia cymosa,52
Pancratium parvum,159
Traulia azureipennis,123
Givotia moluccana,165
Glaucidium brodiei,666
Graphium macareus,112
Meistera acuminata,80
Memecylon grande,19
Xantolis tomentosa,349
Arenga wightii,195
Brugmansia versicolor,163
Hypomecis transcissa,51
Rallina eurizonoides,125
Sarada darwini,76
Teldenia vestigiata,193
Aethopyga saturata,276
Alcippe cinerea,274
Apis florea,3044
Asymblepharus sikimmensis,287
Bubo nipalensis,690
Coracias garrulus,260
Crinum asiaticum,642
Cyrtodactylus deccanensis,1232
Delta conoideum,61
Duranta erecta,1440
Elatostema heyneanum,175
Eulophia herbacea,88
Grewia tenax,247
Gymnoris xanthocollis,2082
Hieraaetus pennatus,1262
Leucas lavandulifolia,162
Pelopidas mathias,7650
Pirdana hyela,141
Pteruthius melanotis,334
Trachypithecus pileatus,1291
Vigna radiata,93
Cnemaspis indica,205
Coccinella transversalis,950
Minervarya mudduraja,322
Parantica sita,800
Parus aplonotus,394
Talinum portulacifolium,142
Tamiops mcclellandii,233
Thinopteryx crocoptera,490
Malus sylvestris,342
Blumea balsamifera,82
Cataglyphis longipedem,40
Juncus effusus,178
Malus docynioides,72
Cyclosia papilionaris,760
Egretta intermedia,1900
Erionota torus,1533
Euphlyctis hexadactylus,1658
Hibiscus rosa-sinensis,6368
Hydrangea macrophylla,1019
Indirana brachytarsus,383
Leucania loreyi,13
Picus xanthopygaeus,1066
Scolopia crenata,721
Sepsophis punctatus,287
Spodoptera littoralis,334
Thalictrum cultratum,269
Treron sphenurus,167
Amegilla cingulifera,173
Ipomoea parasitica,189
Ischnurges gratiosalis,188
Convolvulus prostratus,97
Euthynnus affinis,152
Onchidium typhae,183
Petiveria alliacea,36
Rattus satarae,169
Solanum seaforthianum,427
Cichorium intybus,216
Equus hemionus,194
Accipiter nisus,508
Actias selene,5229
Averrhoa carambola,1683
Belenois aurota,9161
Cnemaspis nilagirica,131
Fernandoa adenophylla,573
Gomphrena serrata,1309
Hasarius adansoni,1569
Ideopsis similis,258
Japalura major,120
Libidibia coriaria,799
Mecardonia procumbens,188
Minervarya teraiensis,196
Nepenthes khasiana,175
Oldenlandia corymbosa,200
Orthetrum pruinosum,12024
Pentas lanceolata,798
Terminalia elliptica,709
Thelacantha brevispina,1384
Achimenes longiflora,85
Acrocephalus stentoreus,1006
Atherurus macrourus,303
Cyrtacanthacris tatarica,641
Grona heterocarpos,4
Juniperus indica,322
Meandrusa payeni,331
Strix leptogrammica,345
Leucas chinensis,0
Mallotus resinosus,26
Myristica magnifica,34
Pachystachys lutea,421
Pyroneura margherita,49
Tamarix ericoides,111
Carea angulata,76
Colias erate,30
Plodia interpunctella,154
Anuga lunulata,47
Brachytes bicolor,39
Casimiroa edulis,325
Cyclidia substigmaria,466
Eragrostis unioloides,140
Fowlea schnurrenbergeri,272
Gomphrena celosioides,525
Hylarana taipehensis,288
Junonia atlites,22154
Lantana camara,12289
Motacilla maderaspatensis,5517
Oligochaeta divaricata,124
Prosotas dubiosa,4459
Raorchestes travancoricus,187
Sonneratia alba,779
Viola pilosa,273
Ceropegia attenuata,111
Garrulax monileger,105
Ixora chinensis,632
Macrocilix maia,264
Raorchestes jayarami,634
Reinwardtiodendron anamalaiense,483
Astropecten indicus,176
Bipalium kewense,24
Matrona nigripectus,141
Casearia rubescens,54
Ceropegia noorjahaniae,94
Indigofera subulata,109
Strobilanthes foliosa,103
Avicennia marina,325
Calliandra haematocephala,1474
Cuphea hyssopifolia,988
Enicurus maculatus,31
Epiprinus mallotiformis,459
Eurema hecabe,30845
Evolvulus nummularius,959
Mussaenda erythrophylla,524
Parapoynx stagnalis,752
Radermachera xylocarpa,195
Symphorema involucratum,246
Urocissa flavirostris,540
Vanda testacea,612
Zingiber roseum,756
Agathia laetata,325
Brassica oleracea,230
Ceropegia candelabrum,188
Cyana peregrina,316
Falco columbarius,278
Livistona chinensis,255
Oligodon venustus,193
Parambassis thomassi,115
Serrodes campana,274
Tarsiger rufilatus,247
Calanthe wallichii,2
Codariocalyx motorius,241
Hemiphyllodactylus jnana,250
Agapanthus africanus,58
Jasminum azoricum,97
Scytodes pallida,28
Triumfetta annua,155
Ulex europaeus,116
Alepes djedaba,162
Brithys crini,335
Calanthe sylvatica,131
Corypha umbraculifera,126
Delonix elata,288
Euphlyctis aloysii,222
Eutropis multifasciata,665
Junonia orithya,14006
Lutra lutra,61
Lycodon subcinctus,237
Merops persicus,438
Mesua ferrea,1892
Myophonus horsfieldii,1192
Naregamia alata,715
Notocrypta curvifascia,2020
Nyctibatrachus kempholeyensis,828
Pelecanus onocrotalus,1111
Pluvialis fulva,652
Semnopithecus entellus,2409
Senna siamea,2950
Vestalis submontana,364
Wallago attu,432
Brixia albomaculata,55
Haploclastus nilgirinus,118
Ophiorrhiza mungos,538
Aquila heliaca,359
Chrysopera combinans,65
Dactylorhiza hatagirea,77
Hedyotis articularis,175
Kaestlea travancorica,380
Meliosma pinnata,200
Myrmicaria brunnea,208
Pareronia ceylanica,132
Ypthima ypthimoides,238
Chilasa epycides,210
Passer rutilans,38
Podiceps nigricollis,33
Asio flammeus,560
Asota caricae,2965
Atalantia wightii,4
Cepora nadina,2225
Ceriagrion coromandelianum,33400
Chalciope mygdon,2400
Chilasa clytia,9224
Chlorophorus annularis,44
Cyprinus carpio,342
Dillenia indica,2420
Hiptage benghalensis,884
Lanius vittatus,2265
Macrodiplax cora,1699
Meriones hurrianae,181
Neurothemis tullia,28020
Nycticebus bengalensis,957
Otus bakkamoena,1440
Pedalium murex,779
Psittacula cyanocephala,3849
Senegalia senegal,204
Tecomaria capensis,898
Traminda mundissima,511
Trithemis festiva,8823
Wrightia arborea,533
Caesulia axillaris,222
Delta esuriens,354
Mallotus tetracoccus,613
Megachile lanata,315
Chrysopogon zizanioides,35
Cucumis melo,184
Dendrobium lituiflorum,175
Padenia transversa,253
Arisaema jacquemontii,148
Chanos chanos,147
Caprimulgus mahrattensis,509
Citharexylum spinosum,445
Corymbia citriodora,561
Eugenia codyensis,86
Hyaena hyaena,1019
Lasiommata schakra,22
Lonchura kelaarti,838
Macaretaera hesperis,208
Mycalesis oculus,212
Platanus orientalis,530
Rhinolophus beddomei,541
Sitta himalayensis,241
Spilopelia senegalensis,4509
Syzygium caryophyllatum,296
Chalcorana chalconota,315
Cnaphalocrocis poeyalis,362
Dodona eugenes,703
Tabernaemontana gamblei,234
Zhangixalus burmanus,382
Barsine striata,147
Caleta caleta,169
Chilades laius,97
Gerarda prevostiana,169
Minervarya agricola,168
Prionailurus viverrinus,152
Schotia brachypetala,195
Sinopodophyllum hexandrum,58
Craterostigma nummulariifolium,110
Priva cordifolia,3
Xenochrophis trianguligerus,381
Calacanthus grandiflorus,114
Eragrostis cilianensis,209
Limnonectes doriae,413
Nyctemera adversata,977
Oplismenus undulatifolius,120
Pinus roxburghii,1797
Ptyas mucosa,11554
Tagetes erecta,1141
Chroicocephalus brunnicephalus,1390
Exacum pumilum,486
Lethe sinorix,131
Odorrana chloronota,239
Raorchestes coonoorensis,305
Cyperus eragrostis,84
Dodona adonira,58
Nyctibatrachus karnatakaensis,121
Ormosia travancorica,310
Penaeus monodon,8
Pittosporum napaulense,172
Ricania speculum,37
Trimeresurus albolabris,79
Anthene lycaenina,3915
Bauhinia blakeana,523
Coracina melaschistos,286
Epithema carnosum,144
Eudocima homaena,598
Euthalia durga,53
Glaucocharis tripunctata,14
Manilkara hexandra,887
Manilkara zapota,4902
Momordica dioica,1482
Morus alba,2286
Passer domesticus,8113
Plegadis falcinellus,3357
Pterygota alata,844
Raorchestes tuberohumerus,1788
Strychnos potatorum,495
Terminalia catappa,6824
Zemeros flegyas,6872
Actiniopteris radiata,415
Barleria lawii,78
Chitra indica,406
Euthalia phemius,548
Rhynchospora wightiana,184
Solanum insanum,151
Buteo refectus,131
Cajanus scarabaeoides,26
Microhyla heymonsi,293
Pinus patula,80
Polygala javana,13
Epiplema fulvilinea,169
Geranium wallichianum,0
Kogia sima,10
Pelagodes falsaria,180
Phalaenopsis taenialis,149
Ricciocarpos natans,62
Hydrocotyle umbellata,59
Prunella immaculata,271
Ampulex compressa,340
Aporosa cardiosperma,390
Apus pacificus,76
Burmagomphus sivalikensis,121
Catopsilia pyranthe,21736
Crocothemis erythraea,592
Ficus callosa,341
Macaca radiata,5529
Melanitis leda,24651
Nepita conferta,3296
Pterospermum acerifolium,364
Roystonea regia,1379
Scirpophaga nivella,88
Sida rhombifolia,717
Tagiades menaka,325
Tetrathemis platyptera,2383
Therea petiveriana,369
Turdoides subrufa,445
Aedes aegypti,152
Indigofera hendecaphylla,28
Orthosiphon thymiflorus,27
Pnoepyga albiventer,145
Spilarctia lutea,33
Andrographis serpyllifolia,520
Anemonastrum tetrasepalum,101
Camponotus angusticollis,134
Cordia monoica,173
Excoecaria oppositifolia,55
Heritiera littoralis,747
Amegilla violacea,38
Ceodes grandis,102
Flemingia tuberosa,192
Molione triacantha,198
Pithecops corvus,196
Arachis hypogaea,268
Bradinopyga geminata,15364
Dendrelaphis pictus,704
Galloperdix spadicea,437
Hemidactylus yajurvedi,87
Lasianthus jackianus,162
Macrocilix mysticata,401
Neophron percnopterus,2640
Paradoxurus hermaphroditus,2470
Pentapetes phoenicea,160
Rhizophora mucronata,514
Sitta castanea,713
Strophidia caudata,38
Batrachostomus hodgsoni,5
Chaetomorpha antennina,90
Chlorophytum tuberosum,95
Syzygium rubicundum,174
Typha latifolia,92
Erthesina acuminata,39
Scopelodes venosa,101
Arenaria interpres,249
Lestes barbarus,166
Senecio confusus,165
Alternanthera bettzickiana,169
Calliophis nigrescens,1723
