species,decimalLatitude,decimalLongitude,individualCount
Cordia boissieri,12.94836,77.585663,159
Cordia dichotoma,14.32622,75.730827,196
Cordia lutea,10.80011,76.637482,18
Cordia macleodii,22.813192,77.619247,187
Cordia monoica,12.916516,79.1325,173
Cordia myxa,8.480013,76.909622,207
Cordia sebestena,10.346893,76.207412,209
Cordia sinensis,25.225341,75.833059,184
Cordia subcordata,13.089136,80.209564,179
Cordyline fruticosa,26.504706,90.524639,208
Coriandrum sativum,12.882341,77.556129,156
Coridius janus,28.131704,75.402223,134
Corilla anax,10.321632,76.96333,126
Corma maculata,27.103966,92.398018,26
Cornus macrophylla,30.618549,79.561707,85
Coronella brachyura,22.731382,75.816307,200
Corvus corax,34.154999,77.585449,135
Corvus macrorhynchos,13.034597,80.263023,202
Corvus splendens,11.404942,76.333336,211
Corydalis shakyae,26.987217,94.314292,202
Corymbia citriodora,25.143524,94.28334,197
Corynandra chelidonii,21.123096,79.039078,208
Corynocarpus laevigatus,8.436666,76.988892,122
Corypha umbraculifera,15.905263,73.821321,126
Coryphophylax subcristatus,11.984455,92.950845,209
Coscinium fenestratum,8.727648,77.03476,192
Cosmos bipinnatus,9.322183,76.383987,201
Cosmos sulphureus,13.170984,80.199112,204
Costus pictus,19.073302,72.838918,99
Costus woodsonii,12.882341,77.556129,193
Cotachena histricalis,14.099895,75.07045,151
Cottonia peduncularis,12.795544,75.787424,157
Couroupita guianensis,12.971107,77.614761,205
Cousinia thomsonii,32.417397,77.927383,203
Craspedocephalus gramineus,18.458769,72.933937,210
Craspedocephalus macrolepis,10.088933,77.059525,182
Craspedocephalus malabaricus,10.320493,76.793404,210
Craspedocephalus strigatus,11.491604,76.73365,207
Crassocephalum crepidioides,12.873392,75.646362,192
Craterostigma nummulariifolium,11.9902,75.668205,110
Crateva adansonii,14.377578,75.632698,202
Crateva magna,18.494465,73.825546,115
Crateva religiosa,17.43,73.650002,193
Cratilla lineata,15.291838,74.521216,203
Cratilla metallica,23.586809,91.465225,151
Creatonotos gangis,12.00006,77.138359,207
Creatonotos transiens,18.540813,73.453217,197
Crematogaster rogenhoferi,12.194985,75.804002,7
Creon cleobis,22.194485,88.183578,201
Crepidium versicolor,25.143525,94.283342,209
Crescentia alata,26.8678,75.8129,166
Crescentia cujete,11.927905,79.823395,207
Crex crex,14.643774,75.702257,102
Cricula andrei,25.143525,94.283342,142
Crinum asiaticum,13.073226,80.260918,206
Crinum bulbispermum,26.735538,93.000839,108
Cristidorsa otai,24.352674,92.344818,159
Crithote horridipes,18.540813,73.453217,190
Crocidolomia pavonana,14.351889,75.739738,52
Crocidura fuliginosa,11.410204,76.695032,46
Crocodylus palustris,20.1776,79.3309,210
Crocodylus porosus,22.141527,88.886147,208
Crocothemis erythraea,21.2772,80.385613,159
Crocothemis servilia,25.1827,75.8271,211
Crossandra infundibuliformis,8.504928,77.466446,198
Crossobamon orientalis,26.830453,70.507157,176
Crossopriza lyoni,26.523367,92.915764,196
Crotalaria agatiflora,12.916517,79.132499,23
Crotalaria angulata,8.504928,77.466446,168
Crotalaria chinensis,25.126494,94.323925,50
Crotalaria clarkei,9.686181,76.905229,52
Crotalaria filipes,18.698286,73.390045,189
Crotalaria hebecarpa,12.936437,79.327553,33
Crotalaria juncea,26.7519,91.2288,104
Crotalaria medicaginea,13.825412,77.194321,172
Crotalaria multiflora,13.497808,77.693253,7
Crotalaria obtecta,10.165818,77.079315,14
Crotalaria pallida,26.986504,94.311607,195
Crotalaria paniculata,13.600521,78.533508,180
Crotalaria quinquefolia,13.199233,80.196693,145
Crotalaria retusa,17.409212,73.669388,200
Crotalaria spectabilis,17.921024,73.729752,140
Crotalaria verrucosa,15.968118,74.004578,205
Croton aromaticus,10.357455,76.883507,190
Croton bonplandianus,18.275984,74.808594,184
Croton caudatus,26.686882,94.342003,150
Croton hirtus,8.548453,77.161102,204
Croton persimilis,11.986777,75.553276,59
Croton tiglium,11.840347,76.030708,20
Croton zeylanicus,19.071969,73.535694,139
Cryptocarya wightiana,10.323591,76.951004,53
Cryptolepis buchananii,18.394142,73.712433,196
Cryptomeria japonica,12.863075,77.437836,18
Cryptostegia grandiflora,11.93203,79.816124,205
Ctenopharyngodon idella,10.00672,76.71032,113
Ctenoplusia albostriata,12.222751,76.627228,164
Ctenoptilum vasava,26.647336,89.548337,111
Cuculus canorus,8.713913,77.756652,164
Cuculus micropterus,9.951943,76.311203,198
Cuculus poliocephalus,23.664512,86.932554,152
Cuculus sparverioides,24.43202,92.330688,187
Cuculus varius,26.884905,88.269234,209
Cucumis maderaspatanus,22.835817,73.990349,197
Cucumis melo,22.751896,77.728866,184
Cucumis sativus,25.143525,94.283342,202
Cucurbita maxima,23.606882,91.819641,170
Cucurbita pepo,8.713913,77.756652,162
Culex bengalensis,23.499538,87.305344,185
Culicicapa ceylonensis,26.8722,78.562393,211
Culladia suffusella,11.673192,77.129105,44
Cullen corylifolium,18.8114,72.9406,77
Cullenia exarillata,10.323591,76.951004,192
Cultripalpa partita,8.088306,77.538452,118
Cuon alpinus,21.248069,79.986407,202
Cuora amboinensis,28.11786,95.822591,196
Cuora mouhotii,27.799423,96.3638,91
Cupha erymanthis,11.922379,75.792458,211
Cuphea hyssopifolia,24.691608,92.750946,196
Cupitha purreea,22.62035,86.39721,195
Cupressus cashmeriana,13.02145,77.568504,172
Cupressus funebris,30.344999,77.995552,149
Cupressus lusitanica,21.401134,77.317612,125
Cupressus macrocarpa,20.711931,77.010406,8
Cupressus sempervirens,12.978013,77.592445,173
Cupressus torulosa,27.774696,88.541222,60
Curculigo orchioides,10.327063,76.142686,207
Curcuma angustifolia,11.521877,76.024681,37
Curcuma aromatica,11.562222,76.063614,20
Curcuma karnatakensis,14.617094,74.844864,76
Curcuma longa,10.012646,76.293282,159
Curcuma pseudomontana,19.220454,72.912842,141
Curcuma zedoaria,8.827764,76.859124,157
Curetis acuta,20.520065,85.063766,141
Curetis bulis,27.445472,96.535809,168
Curetis dentata,18.985037,73.28923,205
Curetis saronis,26.17033,91.570327,65
Curetis siva,11.943457,75.853744,156
Curetis thetis,22.791923,88.330959,211
Curoba sangarida,12.672578,77.765774,185
Cursorius coromandelicus,11.664325,78.146014,196
Cursorius cursor,28.297127,74.953537,113
Curubis tetrica,11.998775,77.139832,122
Cuscuta reflexa,19.8226,85.8558,167
Cutia nipalensis,27.606621,88.18615,29
Cyamopsis tetragonoloba,12.916516,79.1325,56
Cyana bellissima,26.990309,88.696266,175
Cyana peregrina,10.213519,77.19722,193
Cyana ridleyi,25.143524,94.28334,69
Cyananthus microphyllus,30.738295,79.449005,153
Cyanotis axillaris,19.436543,72.917702,204
Cyanotis cristata,9.95076,76.31189,45
Cyanotis fasciculata,17.891857,74.515648,145
Cyanotis tuberosa,9.79605,76.789917,65
Cyanotis villosa,9.6806,76.907,198
Cyanotis vivipara,13.440416,75.084476,206
Cyanthillium cinereum,9.45448,76.343994,205
Cyathocline purpurea,17.578008,74.030012,183
Cyathula prostrata,12.873392,75.646362,166
Cycas circinalis,11.353003,76.795906,191
Cycas pectinata,17.54343,80.637222,176
Cycas revoluta,20.1942,85.4623,206
Cycas rumphii,11.928525,79.823021,116
Cyclanthera pedata,30.701361,79.593353,97
Cyclea peltata,8.549304,76.977264,149
Cyclemys gemeli,24.560503,92.279175,205
Cyclidia substigmaria,26.745993,91.020325,146
Cyclodes omma,12.222751,76.627228,111
Cyclogomphus ypsilon,22.837217,83.314804,59
Cyclosa bifida,12.748283,75.423727,39
Cyclosa hexatuberculata,12.132648,75.154381,37
Cyclosa insulana,14.592792,74.670782,38
Cyclosia panthona,25.578773,91.893254,113
Cyclosia papilionaris,24.43202,92.330688,157
Cydalima conchylalis,11.721022,92.734077,184
Cydalima laticostalis,27.341198,88.609856,197
Cymbidium aloifolium,26.740509,93.004829,203
Cymbidium bicolor,17.688553,81.729065,208
Cymbidium devonianum,25.143525,94.283342,156
Cymbidium ensifolium,8.504928,77.466446,86
Cymbidium iridioides,25.143525,94.283342,114
Cymbopogon martini,13.078312,77.578576,194
Cyme euprepioides,26.6,93.466667,192
Cynara cardunculus,25.143524,94.28334,52
Cynarospermum asperrimum,17.393135,73.66806,208
Cynodon dactylon,20.18396,85.617307,100
Cynoglossum zeylanicum,11.305856,76.614532,192
Cynometra travancorica,9.440478,77.160347,22
Cynopterus brachyotis,10.744887,92.499992,181
Cynopterus sphinx,14.344335,75.729057,206
Cyornis banyumas,28.216534,95.796234,205
Cyornis pallidipes,12.455171,75.702663,184
Cyornis poliogenys,24.43202,92.330689,103
Cyornis rubeculoides,10.128119,76.755295,199
Cyornis tickelliae,14.336487,75.705254,205
Cyornis unicolor,24.425817,92.338928,189
Cyperus alternifolius,24.817011,93.936844,147
Cyperus articulatus,21.398021,78.877187,159
Cyperus brevifolius,11.936891,79.835419,209
Cyperus capitatus,22.731866,77.731617,141
Cyperus difformis,13.36841,77.682922,114
Cyperus eragrostis,22.7331,77.7388,84
Cyperus fuscus,14.637407,75.5102,0
Cyperus iria,22.7331,77.7388,177
Cyperus mindorensis,8.434355,76.991669,207
Cyperus rotundus,13.3737,77.1402,211
Cyperus scariosus,26.017452,90.307098,164
Cyperus sesquiflorus,8.9895,76.8502,167
Cyphostemma setosum,12.858946,80.200058,52
Cyprinus carpio,23.606882,91.819641,191
Cypripedium elegans,27.774696,88.541222,6
Cypripedium himalaicum,30.72804,79.605303,6
Cypsiurus balasiensis,11.664325,78.146014,95
Cyrba ocellata,12.866753,80.227509,19
Cyrestis thyodamas,12.103781,75.815277,204
Cyrtacanthacris tatarica,12.758901,78.218536,185
Cyrtarachne raniceps,17.680464,74.018261,54
Cyrtarachne sundari,29.972543,78.296017,19
Cyrtodactylus adleri,7.00106,93.872681,203
Cyrtodactylus albofasciatus,14.734002,74.758163,146
Cyrtodactylus deccanensis,18.7947,73.4049,211
Cyrtodactylus rubidus,11.615504,92.619255,174
Cyrtodactylus varadgirii,19.149872,72.877808,47
Cyrtophora cicatrosa,21.3008,72.8716,203
Cyrtophora citricola,13.070314,77.769526,58
Cyrtophora unicolor,24.43202,92.330688,146
Cyrtopodion scabrum,26.737797,70.903046,60
Cytisus scoparius,11.305856,76.614532,95
Daboia russelii,13.068651,77.578117,211
Dacalana pencilligera,24.352674,92.344815,146
Dacrymyces spathularius,11.410204,76.695032,134
Dactyloctenium aegyptium,11.854699,79.347351,174
Dactyloplusia impulsa,13.576117,75.106299,15
Dactylorhiza hatagirea,30.728041,79.605301,54
Dahlia imperialis,10.229282,77.457283,174
Dahlia pinnata,9.948568,76.948268,60
Dalader planiventris,25.303751,91.691719,99
Dalbergia horrida,8.504928,77.466446,164
Dalbergia lanceolaria,26.8535,75.786,174
Dalbergia latifolia,26.8998,75.7983,211
Dalbergia pinnata,8.68834,77.309471,21
Dalbergia sissoides,26.898714,75.800597,184
Dalbergia sissoo,25.2231,75.834,206
Dalechampia indica,8.68834,77.309471,175
Dalima patularia,27.133626,88.575556,93
Dalima schistacearia,25.143524,94.28334,208
Dalzellia ceylanica,12.873392,75.646362,87
Danaus chrysippus,25.237268,75.836367,211
Danaus genutia,23.877771,86.911646,209
Danaus melanippus,21.769943,88.231513,94
Danaus plexippus,9.24675,76.750966,181
Daphne retusa,27.895832,88.534439,199
Daphniphyllum neilgherrense,11.43241,76.859291,185
Daphnis hypothous,11.572177,76.642715,145
Daphnis nerii,18.551451,73.934784,210
Dasia nicobarensis,9.17337,92.828046,40
Dasia olivacea,7.007565,93.904785,171
Datura ferox,10.895306,77.208748,119
Datura innoxia,22.746128,77.719353,190
Datura metel,26.493231,92.677269,129
Datura stramonium,11.406414,76.693245,103
Datura wrightii,13.130262,74.985275,101
Daucus carota,25.143524,94.28334,149
Dawkinsia filamentosa,10.5395,76.164612,169
Dayella malabarica,9.497789,76.36248,148
Debregeasia longifolia,12.224535,75.649574,135
Decaisnea insignis,12.871816,77.602182,39
Decalepis hamiltonii,12.918216,77.299579,203
Decaschistia crotonifolia,12.579581,78.639877,202
Deccania pubescens,12.225285,79.074699,192
Degonetus serratus,22.976342,88.429839,137
Delgamma pangonia,25.612099,91.897713,74
Delias acalis,26.80109,91.234077,196
Delias agostina,27.517984,88.53109,135
Delias belladonna,27.545063,93.895975,174
Delias berinda,25.698109,94.758734,102
Delias descombesi,26.523852,93.962337,201
Delias eucharis,19.423656,80.56485,211
Delias hyparete,11.600317,92.725683,193
Delias pasithoe,24.352678,92.344814,208
Delichon nipalense,27.306581,88.363998,11
Delichon urbicum,12.299752,77.430954,124
Delonix elata,12.341427,77.332031,155
Delonix regia,19.19824,72.949009,211
Delphinium ajacis,30.345556,77.995277,196
Delphinium dasycaulon,18.281355,73.978584,27
Delta conoideum,8.583291,76.979068,54
Delta dimidiatipenne,26.914614,75.731834,131
Delta esuriens,19.997454,73.789803,184
Delta pyriforme,10.297583,76.256599,195
Dendrelaphis andamanensis,11.615504,92.619255,190
Dendrelaphis ashoki,10.298324,76.880455,210
Dendrelaphis chairecacos,8.963245,77.065081,157
Dendrelaphis girii,15.41085,74.200316,183
Dendrelaphis grandoculis,12.939735,75.785774,182
Dendrelaphis humayuni,7.984372,93.362312,207
Dendrelaphis pictus,26.572229,93.419357,184
Dendrelaphis tristis,12.862098,80.24689,208
Dendrobium aphyllum,26.165522,91.691353,149
Dendrobium aqueum,13.298917,75.817234,120
Dendrobium barbatulum,16.832991,73.819023,169
Dendrobium capillipes,25.143525,94.283342,119
Dendrobium chrysotoxum,26.943909,95.05555,206
Dendrobium denudans,25.235445,94.273624,146
Dendrobium falconeri,25.235445,94.273624,164
Dendrobium fimbriatum,25.143525,94.283342,171
Dendrobium herbaceum,13.316144,75.772044,153
Dendrobium heyneanum,13.121441,75.523667,203
Dendrobium jerdonianum,13.121441,75.523667,194
Dendrobium lituiflorum,25.143525,94.283342,103
Dendrobium macrostachyum,11.987854,77.143585,161
Dendrobium moschatum,26.919928,92.828293,186
Dendrobium nobile,25.143525,94.283342,103
Dendrobium nodosum,12.795544,75.787424,169
Dendrobium ochreatum,25.143525,94.283342,63
Dendrobium ovatum,10.357455,76.883507,143
Dendrobium transparens,27.716249,95.610313,140
Dendrocalamus strictus,13.229177,77.67598,110
Dendrocitta formosae,27.136147,92.454926,199
Dendrocitta leucogastra,9.623706,77.147355,89
Dendrocitta vagabunda,10.8056,76.615,209
Dendrocnide sinuata,11.835275,75.839096,189
Dendrocopos atratus,24.607288,92.383438,201
Dendrocopos darjellensis,25.376539,94.228851,161
Dendrocopos himalayensis,29.423611,79.426941,185
Dendrocopos hyperythrus,30.457552,78.131393,142
Dendrocopos macei,26.923437,92.827751,208
Dendrocoptes auriceps,29.423611,79.426941,189
Dendrocygna bicolor,23.688576,87.666898,206
Dendrocygna javanica,11.921943,76.248726,211
Dendrolirium lasiopetalum,26.635183,90.75943,141
Dendrolobium triangulare,15.366457,73.947008,197
Dendronanthus indicus,12.225285,79.074699,189
Dendrophthoe falcata,11.521877,76.024681,79
Dentella repens,13.170984,80.199112,201
Dercas verhuelli,26.722933,89.604309,102
Dermochelys coriacea,6.8155,93.8492,50
Derris trifoliata,16.745438,73.332191,166
Desmanthus virgatus,12.916517,79.132499,4
Desmos chinensis,11.842961,75.665031,179
Deudorix epijarbas,30.550552,79.565964,210
Devario devario,24.434118,92.32985,144
Devario malabaricus,12.283138,77.374237,102
Diabolocatantops pinguis,20.1976,85.4399,148
Diacamma ceylonense,9.674136,76.340096,14
Dianthus caryophyllus,22.821764,88.639053,208
Dianthus chinensis,21.8729,70.1075,192
Diaphania indica,13.066737,77.575615,178
Diasemiopsis ramburialis,24.43202,92.330688,30
Dibamus nicobaricum,6.97233,93.915108,46
Dicaeum agile,18.635077,78.212494,187
Dicaeum chrysorrheum,23.833234,92.626371,163
Dicaeum concolor,15.59673,74.187963,202
Dicaeum cruentatum,24.600548,92.381363,182
Dicaeum erythrorhynchos,12.853644,77.507729,209
Dicaeum ignipectus,26.884905,88.269234,137
Dichanthium annulatum,30.316494,78.032188,103
Dichocrocis rigidalis,25.612099,91.897713,111
Dichocrocis zebralis,25.612099,91.897713,58
Dichorragia nesimachus,26.689423,94.341103,204
Dichotomyctere fluviatilis,9.732346,76.370228,49
Dichrocephala integrifolia,11.410204,76.695032,107
Dichromia sagitta,12.895046,77.592026,204
Dichrostachys cinerea,11.707124,76.868851,197
Dicliptera bupleuroides,12.42442,75.738182,2
Dicliptera foetida,17.930729,73.647734,113
Dicliptera paniculata,19.8702,75.3492,57
Dicoma tomentosa,10.999667,77.280739,1
Dicrurus aeneus,11.562363,76.161671,135
Dicrurus caerulescens,26.873652,75.808724,210
Dicrurus hottentottus,26.154039,91.662967,170
Dicrurus leucophaeus,13.026514,77.645378,211
Dicrurus macrocercus,12.854315,77.509949,210
Dicrurus paradiseus,15.261414,74.613136,210
Dicrurus remifer,23.655525,92.442505,19
Dictyospermum montanum,11.835275,75.839096,14
Didymoplexis pallens,23.252251,88.598619,3
Dieffenbachia seguine,26.015936,90.31015,163
Dienia ophrydis,25.143525,94.283342,75
Dierna patibulum,20.350996,73.046432,55
Dierna strigata,14.316617,75.781288,44
Dieurostus dussumieri,9.498067,76.338852,111
Digama marchali,8.088306,77.538452,34
Digera muricata,12.0476,78.1504,110
Digitaria abludens,19.168195,73.286856,132
Digitonthophagus gazella,20.2073,85.4664,188
Dilipa morgiana,25.143525,94.283342,191
Dillenia bracteata,11.401283,76.735901,187
Dillenia indica,27.0113,94.3368,208
Dillenia pentagyna,12.22408,75.562604,206
Dillenia suffruticosa,9.498067,76.338852,189
Dimocarpus longan,12.337494,75.806908,95
Dinebra retroflexa,22.761294,78.349101,128
Dinetus racemosus,18.698286,73.390045,138
Dinopium benghalense,12.363329,75.287857,209
Dinopium javanense,14.464409,75.921758,200
Diodon hystrix,15.350407,73.779569,204
Dionaea muscipula,25.095386,94.361652,124
Dioscorea alata,21.592529,78.529167,146
Dioscorea bulbifera,8.841749,76.684586,206
Dioscorea esculenta,13.064429,77.620293,5
Dioscorea oppositifolia,24.685823,92.751114,205
Dioscorea pentaphylla,12.87982,79.176132,167
Dioscorea tomentosa,11.664325,78.146011,14
Diospyros barberi,8.691901,77.262726,2
Diospyros blancoi,9.923271,76.77002,205
Diospyros bourdillonii,11.842961,75.665031,187
Diospyros buxifolia,8.504928,77.466446,191
Diospyros candolleana,11.986777,75.553276,9
Diospyros chloroxylon,12.798,77.528999,132
Diospyros crumenata,14.860348,74.757843,22
Diospyros ebenum,11.936891,79.835419,140
Diospyros ghatensis,12.549118,75.686874,141
Diospyros lanceifolia,26.956799,94.173271,108
Diospyros malabarica,26.8689,75.7834,186
Diospyros melanoxylon,25.0519,75.7234,199
Diospyros montana,12.80009,77.711823,167
Diospyros oocarpa,14.860348,74.757843,158
Diospyros ovalifolia,12.031528,77.592026,109
Diospyros paniculata,14.860348,74.757843,171
Diospyros pruriens,12.565287,75.647049,89
Diospyros saldanhae,12.139553,75.627853,211
Diospyros sulcata,10.850516,76.27108,79
Diospyros sylvatica,12.566628,75.65477,87
Dipcadi concanense,16.847816,73.320396,187
Dipcadi saxorum,19.109198,72.861725,66
Diplacodes lefebvrii,12.285582,76.567607,190
Diplacodes nebulosa,20.204466,85.254136,163
Diplacodes trivialis,18.59798,74.868256,211
Diplocentrum congestum,15.39719,74.338219,15
Diplocentrum recurvum,13.434258,77.691193,169
Diploclisia glaucescens,11.835275,75.839096,199
Diplocyclos palmatus,11.336179,76.11025,193
Diploknema butyracea,29.644577,80.202232,85
Dipterocarpus bourdillonii,11.950244,75.865128,86
Dipterocarpus indicus,8.82991,77.019185,51
Dipterocarpus retusus,27.772184,95.661168,59
Dipterocarpus turbinatus,24.43202,92.330688,198
Dirinaria consimilis,30.284084,77.96843,147
Discolampa ethion,27.181583,77.999103,206
Discophora lepida,15.248056,74.623056,170
Discophora sondaica,24.472696,92.281509,203
Discophora timora,13.316144,75.772044,97
Disparoneura quadrimaculata,12.602393,77.545862,200
Disperis neilgherrensis,13.222606,75.250823,129
Distimake aegyptius,26.623398,90.245613,137
Distimake quinquefolius,12.982304,79.259209,82
Dodona adonira,25.143525,94.283342,58
Dodona dipoea,30.459909,78.066399,209
Dodona durga,29.853072,79.567368,172
Dodona egeon,27.40827,93.737531,123
Dodona eugenes,30.455453,78.102273,185
Dodonaea viscosa,11.943819,79.757011,123
Doleschallia bisaltide,27.445472,96.535809,206
Dolichandrone arcuata,12.867438,79.089928,171
Dolichandrone falcata,18.11384,74.129257,180
Dolichandrone spathacea,12.981388,80.243225,43
Dombeya burgessiae,28.594389,77.243826,194
Donella lanceolata,9.438902,77.168137,198
Dopasia gracilis,25.143525,94.283342,176
Dopatrium junceum,12.032208,75.256348,149
Dopatrium nudicaule,12.225285,79.074699,152
Dophla evelina,13.739458,75.024605,159
Dracaena fragrans,10.300173,76.381096,36
Dracaena reflexa,11.949487,79.799149,199
Dracaena roxburghiana,12.85552,76.486351,140
Dracaena terniflora,8.81566,77.013268,88
Dracaena trifasciata,9.485449,76.499281,199
Draco dussumieri,12.7555,75.4337,208
Draco norvillii,27.445472,96.535809,42
Dravidogecko anamallensis,10.363807,76.977516,132
Dremomys lokriah,24.352674,92.344818,202
Drepanosticta carmichaeli,26.753367,89.599922,131
Drimia indica,19.757727,73.346924,147
Dromas ardeola,9.995034,76.224693,107
Drosera burmannii,13.6713,78.4301,209
Drosera indica,12.77129,77.580986,134
Drosera peltata,11.255184,76.6008,205
Drosicha mangiferae,13.138775,77.619965,51
Drosophila melanogaster,12.86806,77.59597,13
Drymaria cordata,13.31232,75.770889,181
Drynaria quercifolia,15.620879,73.772141,152
Dryobates cathpharius,26.750976,91.237164,185
Dryocopus javensis,12.04168,76.131996,183
Dryopteris affinis,13.857239,74.867367,148
Drypetes oblongifolia,12.596304,75.606613,22
Drypetes venusta,11.835275,75.839096,174
Duabanga grandiflora,12.94836,77.585663,208
Ducula aenea,11.902454,77.12236,193
Ducula badia,9.5796,77.1809,82
Ducula bicolor,7.007565,93.904785,189
Dudusa synopla,24.833969,92.781647,203
Dumetia hyperythra,17.328354,78.378998,192
Dupetor flavicollis,17.329992,78.394829,189
Duranta erecta,19.9856,86.1548,193
Duttaphrynus beddomii,8.827763,77.217649,194
Duttaphrynus himalayanus,29.844526,79.603882,142
Duttaphrynus hololius,13.635625,77.788461,208
Duttaphrynus melanostictus,10.238113,77.489182,211
Duttaphrynus microtympanum,10.311035,76.857735,165
Duttaphrynus parietalis,12.11788,75.81665,195
Duttaphrynus scaber,8.667449,77.40995,149
Duttaphrynus stomaticus,24.568514,72.704735,210
Duttaphrynus stuarti,28.11786,95.822591,120
Dypsis lutescens,15.479417,73.928635,156
Dyrzela plagiata,10.265503,77.545105,114
Dyschoriste madurensis,8.50581,77.603371,165
Dysdercus cingulatus,26.542292,91.914809,209
Dysgonia simillima,25.612099,91.897713,24
Dysgonia stuposa,21.307493,72.867072,197
Dysoxylum ficiforme,16.935303,73.803749,184
Dysoxylum malabaricum,9.680688,76.557584,147
Dysphaea ethela,10.133503,76.686028,197
Dysphania andamana,13.265184,92.982496,150
Dysphania militaris,26.523851,93.962334,207
Dysphania nelera,8.767364,77.080841,123
Dysphania percota,11.921734,75.791272,205
Earias cupreoviridis,14.351889,75.739738,168
Ebrechtella concinna,16.56143,73.859549,13
Ecbolium ligustrinum,11.604632,77.076591,196
Echeveria elegans,25.578773,91.893254,149
Echinochloa stagnina,9.370543,76.424477,54
Echinops echinatus,18.155348,73.525726,196
Echis carinatus,18.40493,72.93797,210
Eclipta prostrata,9.894262,76.308073,211
Edales pandava,11.239358,75.81562,208
Egnasia ephyrodalis,8.546519,76.974388,99
Egnasia mesotypa,9.571235,76.82885,10
Egretta garzetta,18.290607,74.805252,211
Egretta gularis,8.360487,77.012665,205
Egretta intermedia,22.795561,88.291602,208
Egretta sacra,7.007565,93.904785,47
Ehretia acuminata,26.9714,94.2946,150
Ehretia aspera,18.258205,73.512733,161
Ehretia laevis,12.8897,77.586967,198
Elaeagnus conferta,11.437258,76.874374,203
Elaeagnus latifolia,25.129944,94.418852,26
Elaeis guineensis,8.893211,76.614143,154
Elaeocarpus angustifolius,10.527033,76.3573,132
Elaeocarpus floribundus,27.0402,95.0767,83
Elaeocarpus macrocerus,7.12054,93.78415,171
Elaeocarpus munroii,12.382928,75.493927,172
Elaeocarpus serratus,12.914142,74.855957,118
Elaeocarpus tuberculatus,11.523088,76.458664,192
Elaeocarpus variabilis,11.432412,76.859222,117
Elaeocarpus venustus,8.485616,77.492065,9
Elaeocarpus weibelii,9.498067,76.338852,68
Elanus caeruleus,8.443397,76.983114,204
Elaphe cantoris,25.143525,94.283342,118
Elaphe taeniura,25.143524,94.28334,132
Elatostema heyneanum,8.762429,77.077164,175
Elatostema lineolatum,10.357455,76.883507,208
Elattoneura campioni,24.352678,92.344814,161
Elattoneura nigerrima,20.949732,73.49462,99
Elattoneura souteri,10.325705,76.401344,164
Elattoneura tetrica,8.578497,77.085226,91
Electrophaes niveonotata,25.596906,91.887812,0
Eleiotis sororia,12.923866,79.018768,186
Eleocharis acicularis,21.86343,76.324768,146
Elephantopus scaber,12.554878,75.010001,192
Elephas maximus,26.6,93.466667,208
Elettaria cardamomum,9.764464,77.177038,141
Eleusine indica,9.463821,76.401344,186
Eligma narcissus,9.578179,76.506783,181
Elkalyce argiades,12.383591,75.494184,168
Elymnias caudata,8.803958,76.701182,209
Elymnias congruens,24.352674,92.344815,145
Elymnias hypermnestra,23.252251,88.598619,209
Elymnias malelas,19.228809,72.918178,211
Elymnias nesaea,23.320618,87.220774,206
Elymnias panthera,14.464409,75.921758,12
Elymnias pealii,27.472834,94.911964,115
Elymnias vasudeva,26.722933,89.604309,138
Elytraria acaulis,27.562521,75.3004,194
Embelia ribes,26.627279,90.241089,117
Embelia tsjeriam-cottam,11.986925,75.553871,202
Emberiza bruniceps,28.52673,77.575363,155
Emberiza buchanani,15.39675,75.064034,92
Emberiza cia,29.42301,79.42749,187
Emberiza lathami,21.831404,76.349761,184
Emberiza melanocephala,19.145521,72.960442,80
Emberiza pusilla,28.216534,95.796234,193
Emberiza stewarti,31.957851,77.109459,69
Emilia ramulosa,11.410204,76.695032,191
Emilia sonchifolia,13.637131,78.460251,158
Endostemon viscosus,11.912873,78.418608,139
Endothenia banausopis,14.341235,75.724731,60
Endotricha melanobasis,12.722169,77.575066,69
Endotricha mesenterialis,14.366676,74.694359,194
Engelhardia spicata,25.143525,94.283342,208
Enhydris enhydris,22.422691,88.288857,187
Enicostema axillare,8.385437,77.607225,72
Enicurus immaculatus,26.102047,91.696548,135
Enicurus maculatus,20.248466,79.425377,31
Enicurus scouleri,27.209246,88.603622,136
Ensete superbum,8.762429,77.077164,210
Enterolobium contortisiliquum,12.94836,77.585663,148
Enterolobium cyclocarpum,12.966216,77.540031,90
Entomogramma fautrix,26.523386,92.915817,89
Entomogramma torsa,25.143525,94.283342,163
Eois grataria,26.142598,91.643536,6
Eonycteris spelaea,12.895287,92.688446,161
Eoophyla sejunctalis,14.350712,75.738541,195
Epeus indicus,12.86068,74.855949,185
Ephedra ciliata,30.625834,74.841942,97
Ephedra gerardiana,34.1739,75.9368,100
Ephippiorhynchus asiaticus,28.52673,77.575363,204
Epidendrum radicans,8.553333,76.884722,202
Epipactis helleborine,30.728041,79.605301,55
Epiphyllum oxypetalum,13.004605,77.566114,138
Epiplema fulvilinea,19.905004,73.231295,169
Epiplema himala,27.207619,92.479134,199
Epipogium roseum,10.3,77.0,206
Epipremnum aureum,20.1976,85.4399,197
Epiprinus mallotiformis,12.386219,75.529854,163
Episesarma mederi,9.98,76.279999,50
Episparis liturata,20.7185,73.0383,148
Episteme adulatrix,25.143524,94.28334,187
Episteme maculatrix,25.592,91.8789,205
